Date,FLDATA.Positive,FLDATA.HospitalizedCumulative
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,2,0
2020-3-4,3,0
2020-3-5,7,0
2020-3-6,8,0
2020-3-7,8,0
2020-3-8,12,0
2020-3-9,13,0
2020-3-10,18,0
2020-3-11,20,0
2020-3-12,26,0
2020-3-13,31,0
2020-3-14,51,0
2020-3-15,91,0
2020-3-16,122,0
2020-3-17,149,0
2020-3-18,211,0
2020-3-19,310,0
2020-3-20,386,0
2020-3-21,528,158
2020-3-22,731,185
2020-3-23,1029,217
2020-3-24,1205,259
2020-3-25,1488,316
2020-3-26,1985,406
2020-3-27,2520,456
2020-3-28,3179,526
2020-3-29,3884,594
2020-3-30,4760,652
2020-3-31,5612,823
2020-4-1,6516,949
2020-4-2,7548,1123
2020-4-3,8816,1287
2020-4-4,10097,1462
2020-4-5,11245,1572
2020-4-6,12008,1682
2020-4-7,13167,1999
2020-4-8,14173,2062
2020-4-9,15219,2268
2020-4-10,16252,2487
2020-4-11,17340,2661
2020-4-12,18404,2772
2020-4-13,19213,2833
2020-4-14,20135,3060
2020-4-15,20727,3344
2020-4-16,21624,3460
2020-4-17,22823,3665
2020-4-18,23906,3842
2020-4-19,24647,3930
2020-4-20,25360,4010
2020-4-21,26106,4235
2020-4-22,26965,4469
2020-4-23,27662,4693
2020-4-24,28876,4888
2020-4-25,29610,5045
2020-4-26,30405,5155
2020-4-27,30924,5211
2020-4-28,31672,5266
2020-4-29,32015,5624
2020-4-30,32529,5795
2020-5-1,33506,5795
2020-5-2,34209,5945
2020-5-3,34841,6244
2020-5-4,35609,6329
2020-5-5,36183,6546
2020-5-6,36764,6776
2020-5-7,37389,6990
2020-5-8,37733,7157
2020-5-9,38498,7325
2020-5-10,39179,7404
2020-5-11,39562,7458
2020-5-12,40168,7654
2020-5-13,40967,7835
2020-5-14,41759,7993
2020-5-15,42545,7993
2020-5-16,43025,8393
2020-5-17,44161,8478
2020-5-18,44815,8553
2020-5-19,45427,8744
2020-5-20,45902,8934
2020-5-21,47092,9200
2020-5-22,47817,9372
2020-5-23,48550,9567
2020-5-24,49095,9638
2020-5-25,50075,9681
2020-5-26,50578,9740
2020-5-27,51053,9899
2020-5-28,51667,10056
2020-5-29,52888,10243
2020-5-30,53640,10375
2020-5-31,54510,10453
2020-6-1,55210,10494
2020-6-2,55812,10678
2020-6-3,57021,10796
2020-6-4,58286,10923
2020-6-5,59305,11066
2020-6-6,60549,11163
2020-6-7,61941,11215
2020-6-8,62970,11282
