Date,GADATA.Positive,GADATA.HospitalizedCumulative
2020-3-4,2,0
2020-3-5,2,0
2020-3-6,2,0
2020-3-7,6,0
2020-3-8,7,0
2020-3-9,12,0
2020-3-10,17,0
2020-3-11,22,0
2020-3-12,31,0
2020-3-13,42,0
2020-3-14,66,0
2020-3-15,99,0
2020-3-16,121,0
2020-3-17,146,0
2020-3-18,197,0
2020-3-19,287,0
2020-3-20,420,0
2020-3-21,507,0
2020-3-22,600,0
2020-3-23,772,0
2020-3-24,1026,0
2020-3-25,1247,394
2020-3-26,1525,473
2020-3-27,2001,566
2020-3-28,2366,617
2020-3-29,2651,666
2020-3-30,2809,707
2020-3-31,3929,833
2020-4-1,4638,952
2020-4-2,5348,1056
2020-4-3,5831,1158
2020-4-4,6160,1239
2020-4-5,6647,1283
2020-4-6,7314,1332
2020-4-7,8818,1774
2020-4-8,9901,1993
2020-4-9,10566,2159
2020-4-10,11483,2351
2020-4-11,12159,2479
2020-4-12,12452,2505
2020-4-13,13315,2589
2020-4-14,14223,2769
2020-4-15,14987,2922
2020-4-16,15669,3108
2020-4-17,17194,3324
2020-4-18,17669,3420
2020-4-19,18301,3464
2020-4-20,18947,3550
2020-4-21,19881,3779
2020-4-22,20740,3959
2020-4-23,21512,4069
2020-4-24,22147,4221
2020-4-25,22695,4326
2020-4-26,23401,4359
2020-4-27,23913,4681
2020-4-28,24615,4814
2020-4-29,25623,5056
2020-4-30,26155,5156
2020-5-1,27270,5269
2020-5-2,28306,5387
2020-5-3,28602,5393
2020-5-4,29368,5526
2020-5-5,29711,5634
2020-5-6,30696,5765
2020-5-7,31439,5835
2020-5-8,32106,5935
2020-5-9,32532,5987
2020-5-10,33441,5997
2020-5-11,33927,6015
2020-5-12,34635,6130
2020-5-13,35332,6259
2020-5-14,35858,6345
2020-5-15,36681,6438
2020-5-16,37147,6735
2020-5-17,37701,6790
2020-5-18,38081,6916
2020-5-19,38721,7027
2020-5-20,39647,7107
2020-5-21,40405,7235
2020-5-22,41218,7313
2020-5-23,42132,7411
2020-5-24,42838,7439
2020-5-25,43344,7475
2020-5-26,43730,7547
2020-5-27,44421,7666
2020-5-28,45070,7767
2020-5-29,45670,7852
2020-5-30,46286,7921
2020-5-31,46986,7946
2020-6-1,47618,8127
2020-6-2,48207,8334
2020-6-3,48894,8419
2020-6-4,49847,8557
2020-6-5,50621,8646
2020-6-6,51309,8662
2020-6-7,51898,8685
2020-6-8,52497,8746
2020-6-9,53249,8872
2020-6-10,53980,8974
2020-6-11,54973,9073
2020-6-12,55783,9181
2020-6-13,56801,9224
2020-6-14,57681,9248
2020-6-15,58414,9322
2020-6-16,59078,9454
2020-6-17,60030,9543
2020-6-18,60912,9663
2020-6-19,62009,9772
2020-6-20,63809,9837
2020-6-21,64701,9837
2020-6-22,65928,9953
2020-6-23,67678,10123
2020-6-24,69381,10313
2020-6-25,71095,10457
2020-6-26,72995,10605
2020-6-27,74985,10689
2020-6-28,77210,10711
2020-6-29,79417,10824
2020-6-30,81291,11051
2020-7-1,84237,11275
2020-7-2,87709,11500
2020-7-3,90493,11653
2020-7-4,93319,11743
2020-7-5,95516,11775
2020-7-6,97064,11919
2020-7-7,100470,12226
2020-7-8,103890,12500
2020-7-9,106727,12606
2020-7-10,111211,12937
2020-7-11,114401,13205
2020-7-12,116926,13259
2020-7-13,120569,13476
2020-7-14,123963,13685
2020-7-15,127834,14102
2020-7-16,131275,14346
2020-7-17,135183,14647
2020-7-18,139872,14961
2020-7-19,143123,15010
2020-7-20,145575,15047
2020-7-21,148988,15494
2020-7-22,152302,15922
2020-7-23,156588,16353
2020-7-24,161401,16752
2020-7-25,165188,17029
2020-7-26,167953,17091
2020-7-27,170843,17138
2020-7-28,175052,17544
2020-7-29,178323,17964
2020-7-30,182286,18303
2020-7-31,186352,18689
2020-8-1,190012,18995
2020-8-2,193177,19064
2020-8-3,195435,19124
2020-8-4,197948,19426
2020-8-5,201713,19788
2020-8-6,204895,20002
2020-8-7,209004,20282
2020-8-8,213427,20556
2020-8-9,216596,20628
2020-8-10,219025,20676
2020-8-11,222588,21031
2020-8-12,226153,21379
2020-8-13,228668,21581
2020-8-14,231895,21818
2020-8-15,235168,22028
2020-8-16,237030,22087
2020-8-17,238861,22133
2020-8-18,241677,22429
2020-8-19,243982,22664
