Date,NYDATA.Positive,NYDATA.HospitalizedCumulative
2020-3-2,0,0
2020-3-3,1,0
2020-3-4,1,0
2020-3-5,3,0
2020-3-6,25,0
2020-3-7,36,0
2020-3-8,60,0
2020-3-9,88,0
2020-3-10,151,0
2020-3-11,195,0
2020-3-12,251,0
2020-3-13,353,0
2020-3-14,517,0
2020-3-15,648,0
2020-3-16,942,0
2020-3-17,1374,0
2020-3-18,2383,0
2020-3-19,4152,0
2020-3-20,7102,0
2020-3-21,10356,1531
2020-3-22,15168,2354
2020-3-23,20875,3125
2020-3-24,25665,4041
2020-3-25,30810,5126
2020-3-26,37258,6921
2020-3-27,44637,8732
2020-3-28,52318,10454
2020-3-29,59513,12695
2020-3-30,66497,14578
2020-3-31,75795,17085
2020-4-1,83712,19929
2020-4-2,92381,22786
2020-4-3,102863,26210
2020-4-4,113704,29471
2020-4-5,122031,32293
2020-4-6,130689,34377
2020-4-7,138863,36932
2020-4-8,149316,39982
2020-4-9,159937,42852
2020-4-10,170512,45768
2020-4-11,180458,48297
2020-4-12,188694,50919
2020-4-13,195031,52936
2020-4-14,202208,54653
2020-4-15,213779,56968
2020-4-16,222284,59052
2020-4-17,229642,61120
2020-4-18,236732,63103
2020-4-19,242786,64550
2020-4-20,247512,65969
2020-4-21,251690,67271
2020-4-22,257216,68773
2020-4-23,263460,70182
2020-4-24,271590,71373
2020-4-25,282143,72444
2020-4-26,288045,73540
2020-4-27,291996,74602
2020-4-28,295106,75362
2020-4-29,299691,76450
2020-4-30,304372,77400
2020-5-1,308314,78224
2020-5-2,312977,78942
2020-5-3,316415,79768
2020-5-4,318953,80376
2020-5-5,321192,80918
2020-5-6,323978,81570
2020-5-7,327469,82197
2020-5-8,330407,82730
2020-5-9,333122,83285
2020-5-10,335395,83761
2020-5-11,337055,84194
2020-5-12,338485,84489
2020-5-13,340661,85008
2020-5-14,343051,85454
2020-5-15,345813,85782
2020-5-16,348232,86207
2020-5-17,350121,86575
2020-5-18,351371,86901
2020-5-19,352845,87169
2020-5-20,354370,87459
2020-5-21,356458,87638
2020-5-22,358154,87843
2020-5-23,359926,88083
2020-5-24,361515,88324
2020-5-25,362764,88554
2020-5-26,363836,88686
2020-5-27,364965,88866
2020-5-28,366733,89042
2020-5-29,368284,89194
2020-5-30,369660,89400
2020-5-31,370770,89590
2020-6-1,371711,89703
2020-6-2,373040,89861
2020-6-3,374085,89995
2020-6-4,375133,89995
2020-6-5,376208,89995
2020-6-6,377316,89995
2020-6-7,378097,89995
2020-6-8,378799,89995
2020-6-9,379482,89995
2020-6-10,380156,89995
2020-6-11,380892,89995
2020-6-12,381714,89995
2020-6-13,382630,89995
2020-6-14,383324,89995
2020-6-15,383944,89995
2020-6-16,384575,89995
2020-6-17,385142,89995
2020-6-18,385760,89995
2020-6-19,386556,89995
2020-6-20,387272,89995
2020-6-21,387936,89995
2020-6-22,388488,89995
2020-6-23,389085,89995
2020-6-24,389666,89995
2020-6-25,390415,89995
2020-6-26,391220,89995
2020-6-27,391923,89995
2020-6-28,392539,89995
2020-6-29,392930,89995
2020-6-30,393454,89995
2020-7-1,394079,89995
2020-7-2,394954,89995
2020-7-3,395872,89995
2020-7-4,396598,89995
2020-7-5,397131,89995
2020-7-6,397649,89995
2020-7-7,398237,89995
2020-7-8,398929,89995
2020-7-9,399513,89995
2020-7-10,400299,89995
2020-7-11,401029,89995
2020-7-12,401706,89995
2020-7-13,402263,89995
