date,case
2021-02-12,3056035
2021-02-13,3056035
2021-02-14,3056035
2021-02-15,3086286
2021-02-16,3096343
2021-02-17,3107172
2021-02-18,3121687
2021-02-19,3133122
2021-02-20,3133122
2021-02-21,3133122
2021-02-22,3153971
2021-02-23,3161432
2021-02-24,3170644
2021-02-25,3180212
2021-02-26,3188553
2021-02-27,3188553
2021-02-28,3188553
2021-03-01,3204531
2021-03-02,3130184
2021-03-03,3136321
2021-03-04,3142358
2021-03-05,3149012
2021-03-06,3149012
2021-03-07,3149012
2021-03-08,3160970
2021-03-09,3164982
2021-03-10,3172101
2021-03-11,3178356
2021-03-12,3183704
2021-03-13,3183704
