Dates,Death
2021-02-11,64217
2021-02-12,64747
2021-02-13,64747
2021-02-14,64747
2021-02-15,65449
2021-02-16,65979
2021-02-17,66316
2021-02-18,66704
2021-02-19,67101
2021-02-20,67101
2021-02-21,67101
2021-02-22,67636
2021-02-23,68079
2021-02-24,68468
2021-02-25,68813
2021-02-27,69142
2021-02-28,69142
2021-03-01,69609
2021-03-02,69801
2021-03-03,70247
2021-03-04,70501
2021-03-05,71138
2021-03-06,71138
2021-03-07,71138
2021-03-08,71436
2021-03-09,71727
2021-03-10,71961
2021-03-11,72085
2021-03-12,72258
2021-03-13,72258
